recording_id,original_audio_path,cached_audio_path,status,preprocessed,samplerate,channels,duration_sec,samples_before,samples_after,active_intervals,retained_fraction,ffmpeg_warning
Rufous-vented Chachalaca_sound/Rufous-vented Chachalaca28,D:\other\Bird\Dataset\CC0\Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca28.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca28.wav,too_short_after_preprocess,,,,3.3554375,107374,107374,1,1.0,
Rufous-vented Chachalaca_sound/Rufous-vented Chachalaca3,D:\other\Bird\Dataset\CC0\Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca3.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Rufous-vented Chachalaca_sound\Rufous-vented Chachalaca3.wav,too_short_after_preprocess,,,,4.08,143778,130560,2,0.9080666026791303,
Rusty-margined Guan_sound/Rusty-margined Guan7,D:\other\Bird\Dataset\CC0\Rusty-margined Guan_sound\Rusty-margined Guan7.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Rusty-margined Guan_sound\Rusty-margined Guan7.wav,too_short_after_preprocess,,,,3.27540625,105325,104813,1,0.9951388559221458,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou13,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou13.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou13.wav,too_short_after_preprocess,,,,3.953875,126524,126524,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou15,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou15.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou15.wav,too_short_after_preprocess,,,,4.44703125,142305,142305,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou21,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou21.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou21.wav,too_short_after_preprocess,,,,3.57878125,114521,114521,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou22,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou22.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou22.wav,too_short_after_preprocess,,,,3.57878125,114521,114521,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou23,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou23.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou23.wav,too_short_after_preprocess,,,,3.94140625,126125,126125,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou24,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou24.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou24.wav,too_short_after_preprocess,,,,3.88153125,124209,124209,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou29,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou29.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou29.wav,too_short_after_preprocess,,,,4.12578125,132025,132025,1,1.0,
Slaty-breasted Tinamou_sound/Slaty-breasted Tinamou30,D:\other\Bird\Dataset\CC0\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou30.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Slaty-breasted Tinamou_sound\Slaty-breasted Tinamou30.wav,too_short_after_preprocess,,,,4.12578125,132025,132025,1,1.0,
Solitary Tinamou_sound/Solitary Tinamou16,D:\other\Bird\Dataset\CC0\Solitary Tinamou_sound\Solitary Tinamou16.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Solitary Tinamou_sound\Solitary Tinamou16.wav,too_short_after_preprocess,,,,1.856,66874,59392,1,0.8881179531656548,
Solitary Tinamou_sound/Solitary Tinamou17,D:\other\Bird\Dataset\CC0\Solitary Tinamou_sound\Solitary Tinamou17.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Solitary Tinamou_sound\Solitary Tinamou17.wav,too_short_after_preprocess,,,,3.344,134119,107008,1,0.7978586180928876,
Solitary Tinamou_sound/Solitary Tinamou18,D:\other\Bird\Dataset\CC0\Solitary Tinamou_sound\Solitary Tinamou18.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Solitary Tinamou_sound\Solitary Tinamou18.wav,too_short_after_preprocess,,,,0.72,334208,23040,1,0.0689391037916507,
Solitary Tinamou_sound/Solitary Tinamou30,D:\other\Bird\Dataset\CC0\Solitary Tinamou_sound\Solitary Tinamou30.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Solitary Tinamou_sound\Solitary Tinamou30.wav,too_short_after_preprocess,,,,3.7021875,118470,118470,1,1.0,
Solitary Tinamou_sound/Solitary Tinamou6,D:\other\Bird\Dataset\CC0\Solitary Tinamou_sound\Solitary Tinamou6.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Solitary Tinamou_sound\Solitary Tinamou6.wav,too_short_after_preprocess,,,,2.544,1000595,81408,6,0.08135959104332922,
Southern Cassowary_sound/Southern Cassowary18,D:\other\Bird\Dataset\CC0\Southern Cassowary_sound\Southern Cassowary18.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Southern Cassowary_sound\Southern Cassowary18.wav,too_short_after_preprocess,,,,3.104,2559583,99328,29,0.03880632118591192,
Southern Cassowary_sound/Southern Cassowary21,D:\other\Bird\Dataset\CC0\Southern Cassowary_sound\Southern Cassowary21.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Southern Cassowary_sound\Southern Cassowary21.wav,too_short_after_preprocess,,,,2.45978125,80249,78713,1,0.980859574574138,
Spotted Nothura_sound/Spotted Nothura18,D:\other\Bird\Dataset\CC0\Spotted Nothura_sound\Spotted Nothura18.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Spotted Nothura_sound\Spotted Nothura18.wav,too_short_after_preprocess,,,,2.336,132551,74752,10,0.5639489705849069,
Taczanowskis Tinamou_sound/Taczanowskis Tinamou5,D:\other\Bird\Dataset\CC0\Taczanowskis Tinamou_sound\Taczanowskis Tinamou5.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Taczanowskis Tinamou_sound\Taczanowskis Tinamou5.wav,too_short_after_preprocess,,,,1.04,33792,33280,1,0.9848484848484849,
Taczanowskis Tinamou_sound/Taczanowskis Tinamou6,D:\other\Bird\Dataset\CC0\Taczanowskis Tinamou_sound\Taczanowskis Tinamou6.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Taczanowskis Tinamou_sound\Taczanowskis Tinamou6.wav,too_short_after_preprocess,,,,1.04,33792,33280,1,0.9848484848484849,
Tataupa Tinamou_sound/Tataupa Tinamou20,D:\other\Bird\Dataset\CC0\Tataupa Tinamou_sound\Tataupa Tinamou20.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Tataupa Tinamou_sound\Tataupa Tinamou20.wav,too_short_after_preprocess,,,,3.424,425228,109568,8,0.2576688270762979,
Tataupa Tinamou_sound/Tataupa Tinamou26,D:\other\Bird\Dataset\CC0\Tataupa Tinamou_sound\Tataupa Tinamou26.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Tataupa Tinamou_sound\Tataupa Tinamou26.wav,too_short_after_preprocess,,,,3.552,129792,113664,9,0.8757396449704142,
Thicket Tinamou_sound/Thicket Tinamou17,D:\other\Bird\Dataset\CC0\Thicket Tinamou_sound\Thicket Tinamou17.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Thicket Tinamou_sound\Thicket Tinamou17.wav,too_short_after_preprocess,,,,4.26,136320,136320,1,1.0,
Thicket Tinamou_sound/Thicket Tinamou22,D:\other\Bird\Dataset\CC0\Thicket Tinamou_sound\Thicket Tinamou22.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Thicket Tinamou_sound\Thicket Tinamou22.wav,too_short_after_preprocess,,,,2.576,582144,82432,13,0.14160070360598065,
Thicket Tinamou_sound/Thicket Tinamou25,D:\other\Bird\Dataset\CC0\Thicket Tinamou_sound\Thicket Tinamou25.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Thicket Tinamou_sound\Thicket Tinamou25.wav,too_short_after_preprocess,,,,3.216,211674,102912,15,0.4861815811105757,
Thicket Tinamou_sound/Thicket Tinamou26,D:\other\Bird\Dataset\CC0\Thicket Tinamou_sound\Thicket Tinamou26.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Thicket Tinamou_sound\Thicket Tinamou26.wav,too_short_after_preprocess,,,,3.216,211674,102912,15,0.4861815811105757,
White-bellied Nothura_sound/White-bellied Nothura13,D:\other\Bird\Dataset\CC0\White-bellied Nothura_sound\White-bellied Nothura13.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\White-bellied Nothura_sound\White-bellied Nothura13.wav,too_short_after_preprocess,,,,2.368,650345,75776,16,0.11651661810269934,
White-bellied Nothura_sound/White-bellied Nothura14,D:\other\Bird\Dataset\CC0\White-bellied Nothura_sound\White-bellied Nothura14.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\White-bellied Nothura_sound\White-bellied Nothura14.wav,too_short_after_preprocess,,,,2.368,650345,75776,16,0.11651661810269934,
White-bellied Nothura_sound/White-bellied Nothura30,D:\other\Bird\Dataset\CC0\White-bellied Nothura_sound\White-bellied Nothura30.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\White-bellied Nothura_sound\White-bellied Nothura30.wav,too_short_after_preprocess,,,,4.928,158208,157696,1,0.9967637540453075,
Yellow-legged Tinamou_sound/Yellow-legged Tinamou2,D:\other\Bird\Dataset\CC0\Yellow-legged Tinamou_sound\Yellow-legged Tinamou2.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Yellow-legged Tinamou_sound\Yellow-legged Tinamou2.wav,too_short_after_preprocess,,,,4.395625,140660,140660,1,1.0,
Yellow-legged Tinamou_sound/Yellow-legged Tinamou3,D:\other\Bird\Dataset\CC0\Yellow-legged Tinamou_sound\Yellow-legged Tinamou3.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Yellow-legged Tinamou_sound\Yellow-legged Tinamou3.wav,too_short_after_preprocess,,,,4.395625,140660,140660,1,1.0,
Yellow-legged Tinamou_sound/Yellow-legged Tinamou4,D:\other\Bird\Dataset\CC0\Yellow-legged Tinamou_sound\Yellow-legged Tinamou4.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Yellow-legged Tinamou_sound\Yellow-legged Tinamou4.wav,too_short_after_preprocess,,,,4.395625,140660,140660,1,1.0,
Yellow-legged Tinamou_sound/Yellow-legged Tinamou5,D:\other\Bird\Dataset\CC0\Yellow-legged Tinamou_sound\Yellow-legged Tinamou5.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Yellow-legged Tinamou_sound\Yellow-legged Tinamou5.wav,too_short_after_preprocess,,,,4.395625,140660,140660,1,1.0,
Yellow-legged Tinamou_sound/Yellow-legged Tinamou6,D:\other\Bird\Dataset\CC0\Yellow-legged Tinamou_sound\Yellow-legged Tinamou6.mp3,D:\other\Bird\Code\data\kaggle_training_wav_cache_sp\Yellow-legged Tinamou_sound\Yellow-legged Tinamou6.wav,too_short_after_preprocess,,,,4.395625,140660,140660,1,1.0,
