folder_name,files,hours,min_duration_sec,median_duration_sec,max_duration_sec
Andean Guan_sound,30,0.3599806059460821,7.928208616780045,29.374965986394557,146.77333333333334
Andean Tinamou_sound,30,0.25565078577727385,3.612,14.72514739229025,129.13275
Australian Brushturkey_sound,28,0.17753974619708995,1.9608125,8.222931193310657,64.2575625
Band-tailed Guan_sound,30,0.3884719052343159,3.366485260770975,34.79616780045352,177.28662131519275
Barred Tinamou_sound,3,0.028614655730347698,31.481875,33.506395833333336,38.02448979591837
Bartletts Tinamou_sound,30,0.9853921639581757,22.961625,66.80237003968254,399.516462585034
Baudo Guan_sound,14,0.1410051776266062,15.874943310657596,40.87848072562358,50.97907029478458
Bearded Guan_sound,27,0.3986964340041573,6.81718820861678,34.79616780045352,313.7637188208617
Berlepschs Tinamou_sound,13,0.06967746913580247,7.301836734693878,13.390340136054421,30.405102040816328
Biak Scrubfowl_sound,9,0.027536024305555556,6.0,9.3579375,35.1096875
Black Tinamou_sound,20,0.34285320869551533,4.068604166666667,20.747301587301585,496.54401360544216
Black-billed Brushturkey_sound,20,0.13892911123708745,10.011383219954649,20.19814058956916,58.890090702947845
Black-capped Tinamou_sound,30,0.3238244356261023,1.31275,19.523825042517007,169.5902947845805
Black-fronted Piping Guan_sound,12,0.13791263542454016,5.574625850340136,9.456383219954649,158.23
Blue-throated Piping Guan_sound,30,0.23056953010833967,7.271836734693878,16.546791383219954,190.3995
Brazilian Tinamou_sound,30,0.7003888026738474,1.397437641723356,84.19013605442177,180.75275
Brown Tinamou_sound,30,1.2032780501228268,7.320090702947846,60.07579166666667,484.00691609977326
Brushland Tinamou_sound,26,0.2444099103206097,3.112063492063492,34.15120181405896,84.25412698412698
Buff-browed Chachalaca_sound,10,0.07814648183578986,6.7598125,19.209138321995464,70.98895691609977
Cauca Guan_sound,30,1.380675365331318,18.07170068027211,110.93738095238095,701.6711111111111
Chaco Chachalaca_sound,30,0.8787060559964724,14.373242630385487,37.437,639.098820861678
Chestnut-bellied Guan_sound,12,0.21842909423028473,3.1880498866213154,43.05827664399093,181.01668934240362
Chestnut-headed Chachalaca_sound,4,0.08086608717561097,12.699274376417234,19.209138321995464,240.00036281179138
Chestnut-winged Chachalaca_sound,30,0.36562997299382705,4.1091875,43.84171201814059,104.452625
Chilean Tinamou_sound,12,0.05353584656084656,2.79,10.272324263038549,67.63426303854875
Choco Tinamou_sound,7,0.08458407076719576,9.89265306122449,24.19829931972789,116.596875
Cinereous Tinamou_sound,30,0.7701192520156214,7.301836734693878,54.53759637188209,414.884693877551
Collared Brushturkey_sound,20,0.3183084341143865,43.455011337868484,43.63455782312925,82.86587301587302
Colombian Chachalaca_sound,30,0.3848903217513856,11.4739375,28.98799319727891,138.47684807256235
Common Ostrich_sound,7,0.062767336585097,4.7820833333333335,12.071065759637188,107.46195011337869
Crested Guan_sound,30,0.4864062749196902,11.078666666666667,37.1315873015873,189.88408163265305
